-------------------------------------------------------------------
Date: 7/2/2013 -- 15:29:17 (uptime: 0d, 00h 00m 28s)
-------------------------------------------------------------------
Counter                   | TM Name                   | Value
-------------------------------------------------------------------
capture.kernel_packets    | AFPacketeth31             | 2511127
capture.kernel_drops      | AFPacketeth31             | 1010959
decoder.pkts              | AFPacketeth31             | 1200080
decoder.bytes             | AFPacketeth31             | 899752595
decoder.ipv4              | AFPacketeth31             | 1193749
decoder.ipv6              | AFPacketeth31             | 58849
decoder.ethernet          | AFPacketeth31             | 1200080
decoder.raw               | AFPacketeth31             | 0
decoder.sll               | AFPacketeth31             | 0
decoder.tcp               | AFPacketeth31             | 510461
decoder.udp               | AFPacketeth31             | 708176
decoder.sctp              | AFPacketeth31             | 0
decoder.icmpv4            | AFPacketeth31             | 5252
decoder.icmpv6            | AFPacketeth31             | 1703
decoder.ppp               | AFPacketeth31             | 295
decoder.pppoe             | AFPacketeth31             | 0
decoder.gre               | AFPacketeth31             | 391
decoder.vlan              | AFPacketeth31             | 0
decoder.teredo            | AFPacketeth31             | 55071
decoder.ipv4_in_ipv6      | AFPacketeth31             | 0
decoder.ipv6_in_ipv6      | AFPacketeth31             | 0
decoder.avg_pkt_size      | AFPacketeth31             | 750
decoder.max_pkt_size      | AFPacketeth31             | 1514
defrag.ipv4.fragments     | AFPacketeth31             | 11247
defrag.ipv4.reassembled   | AFPacketeth31             | 1971
defrag.ipv4.timeouts      | AFPacketeth31             | 0
defrag.ipv6.fragments     | AFPacketeth31             | 1505
defrag.ipv6.reassembled   | AFPacketeth31             | 398
defrag.ipv6.timeouts      | AFPacketeth31             | 0
defrag.max_frag_hits      | AFPacketeth31             | 0
tcp.sessions              | AFPacketeth31             | 26746
tcp.ssn_memcap_drop       | AFPacketeth31             | 0
tcp.pseudo                | AFPacketeth31             | 326
tcp.invalid_checksum      | AFPacketeth31             | 0
tcp.no_flow               | AFPacketeth31             | 0
tcp.reused_ssn            | AFPacketeth31             | 13
tcp.memuse                | AFPacketeth31             | 44934768
tcp.syn                   | AFPacketeth31             | 19095
tcp.synack                | AFPacketeth31             | 6594
tcp.rst                   | AFPacketeth31             | 4469
tcp.segment_memcap_drop   | AFPacketeth31             | 133554
tcp.stream_depth_reached  | AFPacketeth31             | 0
tcp.reassembly_memuse     | AFPacketeth31             | 17179918620
tcp.reassembly_gap        | AFPacketeth31             | 150
detect.alert              | AFPacketeth31             | 42
capture.kernel_packets    | AFPacketeth32             | 2443987
capture.kernel_drops      | AFPacketeth32             | 943825
decoder.pkts              | AFPacketeth32             | 1200080
decoder.bytes             | AFPacketeth32             | 959563427
decoder.ipv4              | AFPacketeth32             | 1201101
decoder.ipv6              | AFPacketeth32             | 59057
decoder.ethernet          | AFPacketeth32             | 1200080
decoder.raw               | AFPacketeth32             | 0
decoder.sll               | AFPacketeth32             | 0
decoder.tcp               | AFPacketeth32             | 499295
decoder.udp               | AFPacketeth32             | 736797
decoder.sctp              | AFPacketeth32             | 0
decoder.icmpv4            | AFPacketeth32             | 4981
decoder.icmpv6            | AFPacketeth32             | 1481
decoder.ppp               | AFPacketeth32             | 516
decoder.pppoe             | AFPacketeth32             | 0
decoder.gre               | AFPacketeth32             | 685
decoder.vlan              | AFPacketeth32             | 0
decoder.teredo            | AFPacketeth32             | 57777
decoder.ipv4_in_ipv6      | AFPacketeth32             | 0
decoder.ipv6_in_ipv6      | AFPacketeth32             | 0
decoder.avg_pkt_size      | AFPacketeth32             | 800
decoder.max_pkt_size      | AFPacketeth32             | 1514
defrag.ipv4.fragments     | AFPacketeth32             | 6653
defrag.ipv4.reassembled   | AFPacketeth32             | 1179
defrag.ipv4.timeouts      | AFPacketeth32             | 0
defrag.ipv6.fragments     | AFPacketeth32             | 939
defrag.ipv6.reassembled   | AFPacketeth32             | 232
defrag.ipv6.timeouts      | AFPacketeth32             | 0
defrag.max_frag_hits      | AFPacketeth32             | 0
tcp.sessions              | AFPacketeth32             | 22957
tcp.ssn_memcap_drop       | AFPacketeth32             | 0
tcp.pseudo                | AFPacketeth32             | 309
tcp.invalid_checksum      | AFPacketeth32             | 0
tcp.no_flow               | AFPacketeth32             | 0
tcp.reused_ssn            | AFPacketeth32             | 4
tcp.memuse                | AFPacketeth32             | 45412048
tcp.syn                   | AFPacketeth32             | 17438
tcp.synack                | AFPacketeth32             | 6213
tcp.rst                   | AFPacketeth32             | 4056
tcp.segment_memcap_drop   | AFPacketeth32             | 144073
tcp.stream_depth_reached  | AFPacketeth32             | 0
tcp.reassembly_memuse     | AFPacketeth32             | 17179875091
